
"UCL_CODE_2016"	"UCL_NAME_2016"	"Latitude"	"Longitude"
"UCL122088"	"Lyndhurst (L)"	-33.67255	149.042508
"UCL122089"	"Maloneys Beach (L)"	-35.708482	150.24729
"UCL122090"	"Manildra (L)"	-33.181207	148.699207
"UCL122091"	"Manning Point (L)"	-31.899491	152.659546
"UCL122092"	"Marrangaroo (L)"	-33.455496	150.114445
"UCL122093"	"Menangle Park (L)"	-34.106329	150.745569
"UCL122094"	"Mendooran (L)"	-31.821884	149.123303
"UCL122095"	"Menindee (L)"	-32.390707	142.40322
"UCL122096"	"Minnie Water (L)"	-29.775111	153.298134
"UCL122097"	"Mogo (L)"	-35.777695	150.140873
"UCL122098"	"Moonbi (L)"	-31.019442	151.068939
"UCL122099"	"Mooney Mooney (L)"	-33.522138	151.196606
"UCL122100"	"Moulamein (L)"	-35.091184	144.04763
"UCL122101"	"Mulbring (L)"	-32.903502	151.481013
"UCL122102"	"Mungindi (NSW Part) (L)"	-28.977559	148.987485
"UCL122103"	"Mylestom (L)"	-30.462295	153.039983
"UCL122104"	"Nana Glen (L)"	-30.131616	153.017681
